Id,Prediction
3001,1
3002,4
3003,3
3004,5
3005,5
3006,5
3007,2
3008,4
3009,3
3010,2
3011,2
3012,5
3013,4
3014,5
3015,1
3016,5
3017,0
3018,2
3019,5
3020,2
3021,3
3022,1
3023,2
3024,0
3025,0
3026,3
3027,1
3028,4
3029,3
3030,5
3031,4
3032,2
3033,4
3034,4
3035,4
3036,5
3037,4
3038,0
3039,3
3040,4
3041,1
3042,5
3043,1
3044,4
3045,0
3046,1
3047,5
3048,3
3049,4
3050,1
3051,4
3052,3
3053,1
3054,4
3055,3
3056,1
3057,4
3058,4
3059,0
3060,4
3061,1
3062,4
3063,5
3064,2
3065,5
3066,5
3067,0
3068,0
3069,2
3070,0
3071,5
3072,1
3073,5
3074,3
3075,1
3076,1
3077,4
3078,0
3079,5
3080,4
3081,5
3082,4
3083,4
3084,4
3085,2
3086,2
3087,2
3088,5
3089,3
3090,2
3091,3
3092,2
3093,1
3094,4
3095,3
3096,5
3097,2
3098,4
3099,2
3100,3
3101,5
3102,5
3103,3
3104,0
3105,3
3106,4
3107,5
3108,1
3109,0
3110,3
3111,0
3112,4
3113,3
3114,2
3115,5
3116,2
3117,4
3118,5
3119,4
3120,1
3121,3
3122,3
3123,0
3124,1
3125,5
3126,3
3127,0
3128,5
3129,2
3130,5
3131,2
3132,4
3133,3
3134,5
3135,3
3136,4
3137,4
3138,3
3139,4
3140,4
3141,1
3142,5
3143,3
3144,1
3145,2
3146,0
3147,3
3148,2
3149,2
3150,1
3151,3
3152,2
3153,4
3154,5
3155,5
3156,3
3157,2
3158,5
3159,3
3160,3
3161,1
3162,4
3163,0
3164,3
3165,2
3166,2
3167,3
3168,4
3169,2
3170,1
3171,2
3172,2
3173,4
3174,1
3175,4
3176,2
3177,4
3178,4
3179,1
3180,0
3181,5
3182,5
3183,4
3184,5
3185,4
3186,2
3187,5
3188,4
3189,1
3190,2
3191,1
3192,1
3193,5
3194,3
3195,4
3196,5
3197,3
3198,2
3199,4
3200,4
3201,2
3202,5
3203,2
3204,3
3205,3
3206,2
3207,3
3208,1
3209,4
3210,1
3211,3
3212,1
3213,3
3214,5
3215,3
3216,1
3217,4
3218,0
3219,5
3220,1
3221,2
3222,2
3223,3
3224,1
3225,5
3226,2
3227,1
3228,0
3229,2
3230,5
3231,5
3232,2
3233,0
3234,2
3235,1
3236,2
3237,5
3238,3
3239,5
3240,3
3241,2
3242,3
3243,0
3244,4
3245,1
3246,3
3247,4
3248,3
3249,3
3250,3
3251,1
3252,2
3253,3
3254,4
3255,4
3256,5
3257,5
3258,2
3259,1
3260,4
3261,3
3262,2
3263,2
3264,3
3265,4
3266,3
3267,0
3268,0
3269,2
3270,5
3271,5
3272,5
3273,2
3274,5
3275,4
3276,3
3277,2
3278,3
3279,4
3280,4
3281,1
3282,3
3283,3
3284,4
3285,4
3286,2
3287,0
3288,4
3289,1
3290,4
3291,2
3292,4
3293,3
3294,0
3295,4
3296,1
3297,4
3298,5
3299,5
3300,4
3301,4
3302,5
3303,4
3304,1
3305,0
3306,4
3307,1
3308,1
3309,4
3310,2
3311,3
3312,2
3313,2
3314,1
3315,4
3316,3
3317,5
3318,5
3319,0
3320,2
3321,0
3322,4
3323,5
3324,0
3325,4
3326,3
3327,3
3328,5
3329,5
3330,4
3331,4
3332,5
3333,2
3334,5
3335,3
3336,3
3337,5
3338,0
3339,5
3340,3
3341,3
3342,4
3343,4
3344,1
3345,2
3346,0
3347,2
3348,4
3349,2
3350,0
3351,3
3352,2
3353,4
3354,2
3355,2
3356,3
3357,5
3358,4
3359,2
3360,5
3361,0
3362,4
3363,3
3364,3
3365,0
3366,5
3367,4
3368,0
3369,4
3370,5
3371,1
3372,3
3373,2
3374,4
3375,4
3376,0
3377,4
3378,4
3379,5
3380,3
3381,2
3382,2
3383,4
3384,1
3385,3
3386,3
3387,1
3388,1
3389,2
3390,3
3391,5
3392,2
3393,2
3394,3
3395,4
3396,5
3397,2
3398,4
3399,3
3400,5
3401,2
3402,3
3403,4
3404,1
3405,4
3406,3
3407,1
3408,4
3409,0
3410,5
3411,3
3412,0
3413,1
3414,4
3415,4
3416,5
3417,2
3418,5
3419,1
3420,4
3421,0
3422,1
3423,2
3424,1
3425,3
3426,1
3427,5
3428,4
3429,0
3430,4
3431,5
3432,1
3433,4
3434,3
3435,4
3436,0
3437,4
3438,4
3439,4
3440,0
3441,4
3442,2
3443,3
3444,5
3445,0
3446,3
3447,5
3448,1
3449,5
3450,5
3451,3
3452,0
3453,1
3454,5
3455,1
3456,4
3457,1
3458,1
3459,0
3460,4
3461,3
3462,4
3463,3
3464,5
3465,3
3466,0
3467,2
3468,4
3469,4
3470,3
3471,3
3472,3
3473,0
3474,5
3475,2
3476,4
3477,1
3478,5
3479,2
3480,1
3481,5
3482,0
3483,5
3484,1
3485,4
3486,4
3487,1
3488,3
3489,5
3490,0
3491,4
3492,4
3493,4
3494,3
3495,3
3496,3
3497,0
3498,1
3499,2
3500,0
3501,3
